Build Type,ID,NAME,TYPE,"ORIENTATION (D,U,L,R)","NORMALLY (0=closed, 1=open)",inNode is Connected To,Node (OUT -or- IN),outNode is Connected To,Node (OUT -or- IN),Length,Label,TextAncor,"Label Orientation (H,V)","Label Placement (L,R)",Associated With
*** Alderan Central Switchyard ***
0-NODE,1,PWR_1,POWER,D,0,10,6,NA,NA,3,Organa Hydro Elec,CC,H,R,NA
1-NODE,2,OHE_32,SWITCH,D,0,PWR_1,OUT,NA,NA,99,OHE 32,RC,H,L,NA
1-NODE,3,CS-103,SWITCH,D,0,OHE_32,OUT,NA,NA,99,CS-103,RC,H,L,CS
1-NODE,4,CS-1,70KVB,D,0,CS-103,OUT,NA,NA,99,CS-1,RC,H,L,CS
1-NODE,5,CS-101,SWITCH,D,0,CS-1,OUT,NA,NA,99,CS-101,RC,H,L,CS
1-NODE,6,LINE_CS-1A,BUS,R,0,OHE_32,OUT,NA,NA,3,LINE_CS-1A,CC,H,L,CS
1-NODE,7,LINE_CS-1B,BUS,D,0,LINE_CS-1A,OUT,NA,NA,3,LINE_CS-1B,CC,H,L,CS
1-NODE,8,CS-105,SWITCH,D,1,LINE_CS-1B,OUT,NA,NA,99,CS-105,LC,H,R,CS
1-NODE,9,LINE_CS-1C,BUS,D,0,CS-105,OUT,NA,NA,3,LINE_CS-1C,CC,H,L,CS
2-NODE,10,LINE_CS-1D,BUS,R,0,CS-101,OUT,LINE_CS-1C,OUT,3,LINE_CS-1D,CC,H,L,CS
1-NODE,1,LINE_CS-1E,BUS,D,0,CS-101,OUT,NA,NA,10,LINE_CS-1E,CC,H,L,CS
1-NODE,22,CS-113,SWITCH,R,0,LINE_CS-1E,OUT,NA,NA,99,CS-113,CB,H,R,CS
1-NODE,23,CS-11,70KVB,R,0,CS-113,OUT,NA,NA,99,CS-11,CB,H,R,CS
1-NODE,24,CS-111,SWITCH,R,0,CS-11,OUT,NA,NA,99,CS-111,CB,H,R,CS
1-NODE,25,LINE_CS-1F,BUS,R,0,CS-111,OUT,NA,NA,2,LINE_CS-1F,CC,H,R,CS
1-NODE,26,LINE_CS-1G,BUS,R,0,LINE_CS-1F,OUT,NA,NA,2,LINE_CS-1G,CC,H,R,CS
1-NODE,27,CS-121,SWITCH,R,0,LINE_CS-1G,OUT,NA,NA,99,CS-121,CB,H,R,CS
1-NODE,28,CS-12,70KVB,R,1,CS-121,OUT,NA,NA,99,CS-12,CB,H,R,CS
1-NODE,29,CS-123,SWITCH,R,0,CS-12,OUT,NA,NA,99,CS-123,CB,H,R,CS
0-NODE,1,PWR_2,POWER,D,0,45,6,NA,NA,3,Kenobi Power Divide,CC,H,R,CS
1-NODE,2,KPD_42,SWITCH,D,0,PWR_2,OUT,NA,NA,99,KPD 42,RC,H,L,CS
1-NODE,3,CS-203,SWITCH,D,0,KPD_42,OUT,NA,NA,99,CS-203,RC,H,L,CS
1-NODE,4,CS-2,70KVB,D,0,CS-203,OUT,NA,NA,99,CS-2,RC,H,L,CS
1-NODE,5,CS-201,SWITCH,D,0,CS-2,OUT,NA,NA,99,CS-201,RC,H,L,CS
1-NODE,6,LINE_CS-2A,BUS,R,0,KPD_42,OUT,NA,NA,3,LINE_CS-2A,CC,H,L,CS
1-NODE,7,LINE_CS-2B,BUS,D,0,LINE_CS-2A,OUT,NA,NA,3,LINE_CS-2B,CC,H,L,CS
1-NODE,8,CS-205,SWITCH,D,1,LINE_CS-2B,OUT,NA,NA,99,CS-205,LC,H,R,CS
1-NODE,9,LINE_CS-2C,BUS,D,0,CS-205,OUT,NA,NA,3,LINE_CS-2C,CC,H,L,CS
2-NODE,10,LINE_CS-2D,BUS,R,0,CS-201,OUT,LINE_CS-2C,OUT,3,LINE_CS-2D,CC,H,L,CS
1-NODE,1,LINE_CS-2E,BUS,D,0,CS-201,OUT,NA,NA,10,LINE_CS-2E,CC,H,L,CS
1-NODE,1,CS-133,SWITCH,L,0,LINE_CS-2E,OUT,NA,NA,99,CS-133,CB,H,L,CS
1-NODE,1,CS-13,70KVB,L,0,CS-133,OUT,NA,NA,99,CS-13,CB,H,L,CS
1-NODE,1,CS-131,SWITCH,L,0,CS-13,OUT,NA,NA,99,CS-131,CB,H,L,CS
1-NODE,1,LINE_CS-2F,BUS,L,0,CS-131,OUT,NA,NA,2,LINE_CS-2F,CB,H,R,CS
2-NODE,1,LINE_CS-2G,BUS,R,0,CS-123,OUT,LINE_CS-2F,OUT,2,LINE_CS-2G,CB,H,R,CS
1-NODE,1,LINE_CS-1H,BUS,D,0,LINE_CS-1E,OUT,NA,NA,6,LINE_CS-1H,CB,H,R,CS
1-NODE,22,CS-213,SWITCH,R,0,LINE_CS-1H,OUT,NA,NA,99,CS-213,CB,H,R,CS
1-NODE,23,CS-21,70KVB,R,0,CS-213,OUT,NA,NA,99,CS-21,CB,H,R,CS
1-NODE,24,CS-211,SWITCH,R,0,CS-21,OUT,NA,NA,99,CS-211,CB,H,R,CS
1-NODE,25,LINE_CS-1I,BUS,R,0,CS-211,OUT,NA,NA,2,LINE_CS-1I,CC,H,R,CS
1-NODE,26,LINE_CS-1J,BUS,R,0,LINE_CS-1I,OUT,NA,NA,2,LINE_CS-1J,CC,H,R,CS
1-NODE,27,CS-221,SWITCH,R,0,LINE_CS-1J,OUT,NA,NA,99,CS-221,CB,H,R,CS
1-NODE,28,CS-22,70KVB,R,1,CS-221,OUT,NA,NA,99,CS-22,CB,H,R,CS
1-NODE,29,CS-223,SWITCH,R,0,CS-22,OUT,NA,NA,99,CS-223,CB,H,R,CS
1-NODE,1,LINE_CS-2H,BUS,D,0,LINE_CS-2E,OUT,NA,NA,6,LINE_CS-2H,CB,H,R,CS
1-NODE,1,CS-233,SWITCH,L,0,LINE_CS-2H,OUT,NA,NA,99,CS-233,CB,H,L,CS
1-NODE,1,CS-23,70KVB,L,0,CS-233,OUT,NA,NA,99,CS-23,CB,H,L,CS
1-NODE,1,CS-231,SWITCH,L,0,CS-23,OUT,NA,NA,99,CS-231,CB,H,L,CS
1-NODE,1,LINE_CS-2I,BUS,L,0,CS-231,OUT,NA,NA,2,LINE_CS-2I,CB,H,R,CS
2-NODE,1,LINE_CS-2J,BUS,R,0,CS-223,OUT,LINE_CS-2I,OUT,2,LINE_CS-2J,CB,H,R,CS
*** Ewok Village Power Station ***
0-node,30001,EVSPF,TURB,D,1,-10,6,NA,NA,4,EV,CC,H,R,EVSPF
1-node,3,SPF-LINE,SWITCH,D,0,EVSPF,OUT,NA,NA,99,SPF-Line,LC,H,R,EVSPF
1-NODE,3,SPF-1,70KVB,D,1,SPF-LINE,OUT,NA,NA,99,SPF-1,LC,H,R,EVSPF
1-NODE,3,SPF-LOAD,SWITCH,D,0,SPF-1,OUT,NA,NA,99,SPF-Load,LC,H,R,EVSPF
1-NODE,3,LINE_EV-A,BUS,D,0,SPF-LOAD,OUT,NA,NA,9,LINE_EV-A,CB,H,R,NA
1-NODE,3,LINE_EV-B,BUS,R,0,LINE_EV-A,OUT,NA,NA,31,LINE_EV-B,CB,H,R,NA
2-NODE,3,LINE_EV-C,BUS,D,0,LINE_EV-B,OUT,LINE_CS-1F,OUT,3,LINE_EV-C,CB,H,R,NA
*** Wookie Lake ***
1-NODE,1,LINE_CS-2K,BUS,D,0,LINE_CS-2J,OUT,NA,NA,10,LINE_CS-2K,CB,H,R,NA
1-NODE,3,WL-103,SWITCH,D,0,LINE_CS-2K,OUT,NA,NA,99,WL-103,RC,H,L,WL
1-NODE,4,WL-1,70KVB,D,0,WL-103,OUT,NA,NA,99,WL-1,RC,H,L,WL
1-NODE,5,WL-101,SWITCH,D,0,WL-1,OUT,NA,NA,99,WL-101,RC,H,L,WL
1-NODE,6,LINE_WL-1A,BUS,R,0,LINE_CS-2K,OUT,NA,NA,3,LINE_WL-1A,CC,H,L,WL
1-NODE,7,LINE_WL-1B,BUS,D,0,LINE_WL-1A,OUT,NA,NA,3,LINE_WL-1B,CC,H,L,WL
1-NODE,8,WL-105,SWITCH,D,1,LINE_WL-1B,OUT,NA,NA,99,WL-105,LC,H,R,WL
1-NODE,9,LINE_WL-1C,BUS,D,0,WL-105,OUT,NA,NA,3,LINE_WL-1C,CC,H,L,WL
2-NODE,10,LINE_WL-1D,BUS,R,0,WL-101,OUT,LINE_WL-1C,OUT,3,LINE_WL-1D,CC,H,L,WL
1-Node,1002,XFMR_WL1,XFMR,D,0,WL-101,OUT,NA,NA,99,Transformer WL1,LC,H,R,WL
1-Node,1003,MAIN_WL1,12KVB,D,0,XFMR_WL1,OUT,NA,NA,99,WL1 Main,LC,H,R,WL
1-NODE,1,BUS_WL-1A,BUS,L,0,MAIN_WL1,OUT,NA,NA,4,BUS_WL-1A,CB,H,R,WL
1-NODE,1,FDR_WL6,12KVB,D,0,BUS_WL-1A,OUT,NA,NA,99,WL6,RC,H,L,WL
1-NODE,1,BUS_WL-1B,BUS,L,0,BUS_WL-1A,OUT,NA,NA,4,BUS_WL-1B,CB,H,R,WL
1-NODE,1,FDR_WL5,12KVB,D,0,BUS_WL-1B,OUT,NA,NA,99,WL5,RC,H,L,WL
1-NODE,1,BUS_WL-1C,BUS,L,0,BUS_WL-1B,OUT,NA,NA,4,BUS_WL-1C,CB,H,R,WL
1-NODE,1,FDR_WL4,12KVB,D,0,BUS_WL-1C,OUT,NA,NA,99,WL4,RC,H,L,WL
1-NODE,1,BUS_WL-1D,BUS,L,0,BUS_WL-1C,OUT,NA,NA,4,BUS_WL-1D,CB,H,R,WL
1-NODE,1,FDR_WL3,12KVB,D,0,BUS_WL-1D,OUT,NA,NA,99,WL3,RC,H,L,WL
1-NODE,1,FDR_WL7,12KVB,D,0,MAIN_WL1,OUT,NA,NA,99,WL7,RC,H,L,WL
1-NODE,1,BUS_WL-1E,BUS,R,0,MAIN_WL1,OUT,NA,NA,4,BUS_WL-1E,CB,H,R,WL
1-NODE,1,FDR_WL8,12KVB,D,0,BUS_WL-1E,OUT,NA,NA,99,WL8,RC,H,L,WL
1-NODE,1,BUS_WL-1F,BUS,R,0,BUS_WL-1E,OUT,NA,NA,4,BUS_WL-1F,CB,H,R,WL
1-NODE,1,FDR_WL9,12KVB,D,0,BUS_WL-1F,OUT,NA,NA,99,WL9,RC,H,L,WL
*** Line to Droid Depot Substation ***
1-NODE,1,LINE_CS1-DD1,BUS,U,0,LINE_CS-1I,OUT,NA,NA,3,LINE_CS1-DD1,CB,H,R,NA
1-NODE,1,LINE_CS1-DD2,BUS,L,0,LINE_CS1-DD1,OUT,NA,NA,80,LINE_CS1-DD2,CB,H,R,NA
